index,latitude,longitude,geometric mean low,geometric mean high,time low 1,time high 1,time low 2,time high 2
38,48.83333333333333,2.231111111111111,16.1245154965971,33.166247903554,10,20,26,55
89,48.888888888888886,2.26,16.24807680927192,36.742346141747674,22,45,12,30
97,48.9,2.202222222222222,16.73320053068151,40.98780306383839,35,70,8,24
6,48.8,2.1733333333333333,16.73320053068151,35.77708763999664,8,16,35,80
98,48.9,2.231111111111111,17.320508075688775,41.10960958218893,30,65,10,26
99,48.9,2.26,17.663521732655695,37.815340802378074,26,55,12,26
88,48.888888888888886,2.231111111111111,17.663521732655695,40.620192023179804,26,55,12,30
7,48.8,2.202222222222222,17.74823934929885,34.64101615137755,9,16,35,75
68,48.86666666666667,2.231111111111111,18.0,37.416573867739416,18,35,18,40
87,48.888888888888886,2.202222222222222,18.33030277982336,43.87482193696061,28,55,12,35
4,48.8,2.1155555555555554,18.708286933869708,43.81780460041329,10,24,35,80
8,48.8,2.231111111111111,18.708286933869708,40.0,10,20,35,80
17,48.81111111111111,2.202222222222222,18.708286933869708,34.64101615137755,10,16,35,75
79,48.87777777777777,2.26,18.76166303929372,42.42640687119285,22,45,16,40
18,48.81111111111111,2.231111111111111,18.973665961010276,37.416573867739416,12,20,30,70
28,48.82222222222222,2.231111111111111,18.973665961010276,37.815340802378074,12,22,30,65
48,48.84444444444444,2.231111111111111,19.595917942265423,37.416573867739416,16,28,24,50
15,48.81111111111111,2.1444444444444444,19.79898987322333,47.69696007084728,14,35,28,65
77,48.87777777777777,2.202222222222222,20.396078054371138,46.9041575982343,26,55,16,40
66,48.86666666666667,2.1733333333333333,20.396078054371138,46.9041575982343,26,55,16,40
86,48.888888888888886,2.1733333333333333,20.493901531919196,44.15880433163923,35,65,12,30
5,48.8,2.1444444444444444,20.493901531919196,44.15880433163923,12,26,35,75
76,48.87777777777777,2.1733333333333333,20.493901531919196,45.8257569495584,30,60,14,35
49,48.84444444444444,2.26,20.784609690826528,43.87482193696061,18,35,24,55
69,48.86666666666667,2.26,20.97617696340303,45.0,22,45,20,45
25,48.82222222222222,2.1444444444444444,21.633307652783937,48.98979485566356,18,40,26,60
13,48.81111111111111,2.0866666666666664,21.908902300206645,49.49747468305833,16,35,30,70
29,48.82222222222222,2.26,21.908902300206645,44.15880433163923,16,30,30,65
3,48.8,2.0866666666666664,21.908902300206645,48.78524367060187,12,28,40,85
67,48.86666666666667,2.202222222222222,21.908902300206645,49.749371855331,24,55,20,45
36,48.83333333333333,2.1733333333333333,21.908902300206645,42.661458015403085,16,28,30,65
65,48.86666666666667,2.1444444444444444,21.908902300206645,50.99019513592785,30,65,16,40
35,48.83333333333333,2.1444444444444444,21.908902300206645,49.749371855331,20,45,24,55
55,48.855555555555554,2.1444444444444444,22.44994432064365,46.9041575982343,28,55,18,40
39,48.83333333333333,2.26,22.44994432064365,47.69696007084728,18,35,28,65
78,48.87777777777777,2.231111111111111,22.80350850198276,44.721359549995796,26,50,20,40
45,48.84444444444444,2.1444444444444444,22.80350850198276,50.0,26,50,20,50
58,48.855555555555554,2.231111111111111,22.978250586152114,42.42640687119285,24,40,22,45
26,48.82222222222222,2.1733333333333333,23.2379000772445,51.234753829797995,18,35,30,75
33,48.83333333333333,2.0866666666666664,23.2379000772445,52.91502622129181,18,40,30,70
9,48.8,2.26,23.664319132398465,50.19960159204453,14,28,40,90
27,48.82222222222222,2.202222222222222,23.664319132398465,44.15880433163923,16,26,35,75
47,48.84444444444444,2.202222222222222,23.664319132398465,46.9041575982343,20,40,28,55
46,48.84444444444444,2.1733333333333333,24.0,50.0,24,50,24,50
24,48.82222222222222,2.1155555555555554,24.49489742783178,54.08326913195984,20,45,30,65
43,48.84444444444444,2.0866666666666664,24.49489742783178,52.91502622129181,20,40,30,70
42,48.84444444444444,2.057777777777778,24.49489742783178,52.91502622129181,20,40,30,70
37,48.83333333333333,2.202222222222222,24.49489742783178,44.15880433163923,20,30,30,65
59,48.855555555555554,2.26,24.819347291981714,49.749371855331,22,45,28,55
34,48.83333333333333,2.1155555555555554,24.979991993593593,51.96152422706632,24,45,26,60
75,48.87777777777777,2.1444444444444444,25.099800796022265,52.91502622129181,35,70,18,40
85,48.888888888888886,2.1444444444444444,25.099800796022265,54.772255750516614,35,75,18,40
14,48.81111111111111,2.1155555555555554,25.099800796022265,52.91502622129181,18,40,35,70
2,48.8,2.057777777777778,25.298221281347036,54.543560573178574,16,35,40,85
96,48.9,2.1733333333333333,25.298221281347036,49.49747468305833,40,70,16,35
1,48.8,2.028888888888889,25.298221281347036,52.91502622129181,16,35,40,80
19,48.81111111111111,2.26,25.298221281347036,52.91502622129181,16,35,40,80
64,48.86666666666667,2.1155555555555554,26.0,49.749371855331,26,45,26,55
22,48.82222222222222,2.057777777777778,26.457513110645905,54.772255750516614,20,40,35,75
44,48.84444444444444,2.1155555555555554,26.832815729997478,50.99019513592785,24,40,30,65
57,48.855555555555554,2.202222222222222,26.981475126464083,50.0,28,50,26,50
16,48.81111111111111,2.1733333333333333,27.748873851023216,54.772255750516614,22,40,35,75
23,48.82222222222222,2.0866666666666664,27.748873851023216,52.91502622129181,22,40,35,70
53,48.855555555555554,2.0866666666666664,27.748873851023216,56.124860801609124,22,45,35,70
94,48.9,2.1155555555555554,27.748873851023216,61.237243569579455,35,75,22,50
95,48.9,2.1444444444444444,28.284271247461902,60.0,40,80,20,45
31,48.83333333333333,2.028888888888889,28.982753492378876,58.09475019311125,24,45,35,75
84,48.888888888888886,2.1155555555555554,28.982753492378876,61.237243569579455,35,75,24,50
74,48.87777777777777,2.1155555555555554,28.982753492378876,60.0,30,60,28,60
21,48.82222222222222,2.028888888888889,29.664793948382652,60.0,22,45,40,80
20,48.82222222222222,2.0,29.664793948382652,60.0,22,45,40,80
83,48.888888888888886,2.0866666666666664,30.0,65.0,30,65,30,65
50,48.855555555555554,2.0,30.166206257996713,61.237243569579455,26,50,35,75
63,48.86666666666667,2.0866666666666664,31.304951684997057,62.048368229954285,28,55,35,70
54,48.855555555555554,2.1155555555555554,31.304951684997057,55.0,35,55,28,55
93,48.9,2.0866666666666664,31.304951684997057,67.45368781616021,35,70,28,65
72,48.87777777777777,2.057777777777778,31.304951684997057,59.16079783099616,28,50,35,70
62,48.86666666666667,2.057777777777778,31.304951684997057,59.16079783099616,28,50,35,70
51,48.855555555555554,2.028888888888889,31.304951684997057,61.237243569579455,28,50,35,75
0,48.8,2.0,31.622776601683793,66.332495807108,20,40,50,110
32,48.83333333333333,2.057777777777778,32.2490309931942,60.0,26,45,40,80
82,48.888888888888886,2.057777777777778,32.4037034920393,62.048368229954285,30,55,35,70
12,48.81111111111111,2.057777777777778,32.4037034920393,72.4568837309472,30,75,35,70
73,48.87777777777777,2.0866666666666664,32.4037034920393,67.45368781616021,35,65,30,70
10,48.81111111111111,2.0,32.863353450309965,54.543560573178574,24,35,45,85
40,48.84444444444444,2.0,33.46640106136302,63.245553203367585,28,50,40,80
41,48.84444444444444,2.028888888888889,34.64101615137755,66.332495807108,30,55,40,80
90,48.9,2.0,34.64101615137755,66.332495807108,30,55,40,80
11,48.81111111111111,2.028888888888889,34.64101615137755,58.309518948453004,24,40,50,85
56,48.855555555555554,2.1733333333333333,34.64101615137755,59.16079783099616,40,70,30,50
30,48.83333333333333,2.0,34.64101615137755,66.332495807108,30,55,40,80
60,48.86666666666667,2.0,34.64101615137755,68.37397165588672,30,55,40,85
92,48.9,2.057777777777778,35.0,67.45368781616021,35,65,35,70
71,48.87777777777777,2.028888888888889,37.416573867739416,66.332495807108,35,55,40,80
91,48.9,2.028888888888889,37.416573867739416,69.82120021884471,35,65,40,75
52,48.855555555555554,2.057777777777778,37.416573867739416,74.33034373659252,35,65,40,85
81,48.888888888888886,2.028888888888889,40.0,69.82120021884471,40,65,40,75
80,48.888888888888886,2.0,50.0,79.84359711335657,50,75,50,85
61,48.86666666666667,2.028888888888889,55.0,84.8528137423857,55,80,55,90
70,48.87777777777777,2.0,57.445626465380286,92.19544457292888,55,85,60,100
